datestamp,dht22_humidity,dht22_temp
20220824_0907,57.0,23.4
20220824_0908,57.0,23.4
20220824_0909,57.1,23.4
20220824_0910,57.2,23.4
20220824_0911,56.9,23.4
20220824_0912,57.1,23.4
20220824_0913,57.1,23.4
20220824_0914,57.1,23.5
20220824_0915,56.9,23.4
20220824_0916,57.0,23.5
20220824_0917,57.0,23.5
20220824_0918,57.0,23.5
20220824_0919,57.0,23.4
20220824_0920,57.0,23.5
20220824_1230,51.9,25.1
20220824_1235,52.3,25.0
20220824_1240,51.8,25.1
20220824_1245,52.2,25.0
20220824_1250,52.3,25.0
20220824_1255,52.1,25.0
20220824_1300,51.8,24.8
20220824_1305,51.8,24.6
